offerPrice,egc,html,highTech,age,nUnderwriters,sharesOfferedPerc,totalProceeds,investmentReceived,commonEquity,nasdaq2weeksBefore,blueSky,managementFee,commonEquity.1,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,reputationLeadMax,reputationLeadAvg,reputationSum,reputationAvg,nPatents,year>good_return,year>super_return,interaction>super_return_w_reputationAvg,log_age,city>super_return,city>good_return,city>low_return,"industryFF12>Business Equipment -- Computers, Software, and Electronic Equipment",industryFF12>Chemicals and Allied Products,"industryFF12>Consumer Durables -- Cars, TV's, Furniture, Household Appliances","industryFF12>Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",industryFF12>Finance,"industryFF12>Healthcare, Medical Equipment, and Drugs","industryFF12>Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","industryFF12>Oil, Gas, and Coal Extraction and Products",industryFF12>Other,industryFF12>Telephone and Television Transmission,industryFF12>Utilities,"industryFF12>Wholesale, Retail, and Some Services (Laundries, Repair Shops)",exchange>AMEX,exchange>NASDQ,exchange>NYSE,"industryFF5>Business Equipment, Telephone and Television Transmission","industryFF5>Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)","industryFF5>Healthcare, Medical Equipment, and Drugs","industryFF5>Manufacturing, Energy, and Utilities",industryFF5>Other,rf>IT,rf>indebtedness,rf>reimbursement,rf>default,rf>trial,rf>patRatio,log_totalAssets,log_totalRevenue,log_priorFinancing,log_reputationSum
10.0,False,True,True,17.0,5,14.94,112000000,12500.0,-0.064,2101.36,15000.0,1936366.2893920408,100.0,159.1892928,265.064,226.521,13.515999999999998,0.05099145866658618,0.0,True,False,True,4.0,17.0,12500.0,9.001,4.5005,20.003,4.0006,0,0,0,0.0,2.8903717578961645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.028581332012874473,0.0,0.0,7.257351151990093,6.49400639901582,9.433563920090563,3.04466528466317
32.0,False,False,False,7.0,4,14.26,55520000,227597.67635724405,0.851,4210.98,15000.0,780750.0,100.0,83.0445922,99.90299999999999,63.839,6.874,0.06880674254026405,0.0,False,False,False,2.0378863370533975,11.547404798089874,111074.01124672445,9.001,9.001,34.004,8.501,0,0,1,8.501,2.079441541679836,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,7.133561826139607,6.211573423832743,11.61796102905753,3.555462340673585
10.0,True,True,True,8.0,4,15.18,75000000,203015.3,-1.83,3400.43,10000.0,1795139.0098781176,89.98249735019577,24.440202832952707,-543.4137489929576,-141.57696766638867,-38.944850096153246,-0.2644243530297894,0.0842644609528162,True,False,True,15.0,5.0,203015.3,8.001,4.0005,21.003,5.25075,0,1,0,0.0,2.19722457733622,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,6.413485894451843,5.680408059194776,12.22104155036691,3.091178807698004
6.0,False,False,True,17.0,11,37.22,8700000,287258.11820207536,0.257,1403.04,20000.0,101500.0,62.79,28.8987663644927,-101.90656489957041,-102.74404682280505,-21.233510220524003,-0.14259914496300283,0.19145407560850392,False,False,False,4.258343749859852,11.809036446672811,119639.72866595731,3.0010000000000003,3.0010000000000003,54.008,4.909818181818182,0,0,0,0.0,2.8903717578961645,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.019716288102676685,0.0,0.0,0.0,0.0,6.957995454289727,5.8048394911340315,11.692248603213113,4.007478629200439
17.0,False,False,False,3.0,3,36.17,85000000,235182.84684930136,0.07200000000000001,1233.48,75000.0,1200000.0,43.9,85.0859625,349.17,73.475,27.631999999999998,0.07913623736288912,0.6520606008534524,False,False,False,2.059595987445338,11.578069010586916,117620.55144865735,8.001,8.001,22.752,7.584,0,0,0,0.0,1.3862943611198906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.26581557976906817,0.0,0.2033826638477801,0.0,0.0,7.314952340364847,6.2307195347661235,11.675227558274322,3.1676667374614587
9.0,False,False,True,13.0,24,45.5,22500000,10161.0,0.025,1347.4,12705.26168224299,325000.0,72.1,21.831,39.463,47.753,-5.619,-0.1423865392899678,0.192382738261156,True,False,False,4.0,10.0,10161.0,8.75,8.75,155.759,6.489958333333334,4,0,0,0.0,2.6390573296152584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.13514285714285715,7.084136879914624,6.178771495100929,9.226410552153677,5.054709594132722
15.0,False,True,True,8.0,14,41.01,510000000,494929.90533247933,-1.6735421858902593,2656.65,1000.0,4163516.7938595572,55.07,737.9990400000003,1925.0,859.0,-85.0,-0.044155844155844164,0.3122077922077922,False,True,False,2.0,12.0,0.0,9.001,8.751,63.00799999999999,4.500571428571427,0,0,0,0.0,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.06671368124118476,8.032175064528644,7.165219838468569,0.0,4.159008075547822
8.0,False,False,False,43.0,1,26.51,8800000,215576.67346074074,0.353,1300.37,15000.0,1349500.7448125004,66.34,4.80314,13.597999999999999,23.434,0.384,0.02823944697749669,0.4947051036917194,False,False,False,2.0034808124159666,11.49880805426824,100699.03301625277,3.0010000000000003,3.0010000000000003,3.0010000000000003,3.0010000000000003,0,0,0,0.0,3.7841896339182615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.03236313236313236,0.0,0.0,0.0,0.0,7.062215780202198,6.1270437599024214,11.519901406574055,1.3865443298750981
19.0,False,True,False,16.25621727748691,9,30.86,549993000,433512.88414744195,0.364,5821.64,12705.26168224299,6324919.0,77.96,1890.1927440000002,3330.5,4383.6,389.9,0.1170695090827203,0.1320222188860532,False,False,False,3.3678746519428455,11.410977444593254,281154.4456225729,9.001,5.3006,26.503,2.9447777777777784,5,0,0,0.0,2.308524725767227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.04557600361563285,0.02811358433588232,0.0,0.0,8.40825521336561,8.480165232658525,12.546662982633153,3.314295089631636
20.0,False,True,False,23.0,8,32.58,376000000,251741.0,-1.6480000000000001,2072.47,25000.0,4888000.0,62.063275090557795,638.7585109106842,3871.592435683724,1511.51008568179,50.462812314865324,-0.002804036351050518,0.32236431382556574,False,True,True,4.0,14.0,251741.0,9.001,8.501,49.00599999999999,6.125749999999999,0,0,0,0.0,3.1780538303479458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.16833097482177664,0.0,0.0,0.0,0.0,8.522185233741334,7.5736114488281725,12.43616003251879,3.9121429982287217
